"id","nutrient_code","age_min","age_max","gender","ri_base","ul_limit","is_weight_scaled"
"1","alpha_linolenic_acid","0","5","ALL","0.40",,"false"
"2","alpha_linolenic_acid","1","2","ALL","0.60",,"false"
"3","alpha_linolenic_acid","3","5","ALL","0.60",,"false"
"4","alpha_linolenic_acid","6","11","ALL","0.60",,"false"
"5","alpha_linolenic_acid","6","8","F","0.70",,"false"
"6","alpha_linolenic_acid","9","11","F","0.80",,"false"
"7","alpha_linolenic_acid","12","14","F","0.90",,"false"
"8","alpha_linolenic_acid","15","18","F","0.80",,"false"
"9","alpha_linolenic_acid","19","29","F","0.90",,"false"
"10","alpha_linolenic_acid","30","49","F","0.90",,"false"
"11","alpha_linolenic_acid","50","64","F","0.80",,"false"
"12","alpha_linolenic_acid","65","74","F","0.50",,"false"
"13","alpha_linolenic_acid","75","99","F","0.40",,"false"
"14","alpha_linolenic_acid","6","8","M","0.80",,"false"
"15","alpha_linolenic_acid","9","11","M","1.00",,"false"
"16","alpha_linolenic_acid","12","14","M","1.20",,"false"
"17","alpha_linolenic_acid","15","18","M","1.30",,"false"
"18","alpha_linolenic_acid","19","29","M","1.20",,"false"
"19","alpha_linolenic_acid","30","49","M","1.20",,"false"
"20","alpha_linolenic_acid","50","64","M","1.00",,"false"
"21","alpha_linolenic_acid","65","74","M","0.80",,"false"
"22","alpha_linolenic_acid","75","99","M","0.60",,"false"
"23","biotin","0","5","ALL","5.00",,"false"
"24","biotin","1","2","ALL","9.00",,"false"
"25","biotin","3","5","ALL","12.00",,"false"
"26","biotin","6","11","ALL","7.00",,"false"
"27","biotin","0","99","F","0.00",,"false"
"28","biotin","6","8","F","15.00",,"false"
"29","biotin","9","11","F","20.00",,"false"
"30","biotin","12","14","F","25.00",,"false"
"31","biotin","15","18","F","30.00",,"false"
"32","biotin","19","29","F","30.00",,"false"
"33","biotin","30","49","F","30.00",,"false"
"34","biotin","50","64","F","30.00",,"false"
"35","biotin","65","74","F","30.00",,"false"
"36","biotin","75","99","F","30.00",,"false"
"37","biotin","6","8","M","15.00",,"false"
"38","biotin","9","11","M","20.00",,"false"
"39","biotin","12","14","M","25.00",,"false"
"40","biotin","15","18","M","30.00",,"false"
"41","biotin","19","29","M","30.00",,"false"
"42","biotin","30","49","M","30.00",,"false"
"43","biotin","50","64","M","30.00",,"false"
"44","biotin","65","74","M","30.00",,"false"
"45","biotin","75","99","M","30.00",,"false"
"46","calcium","0","5","ALL","200.00","1000.00","false"
"47","calcium","1","2","ALL","450.00","1500.00","false"
"48","calcium","3","5","ALL","550.00","2500.00","false"
"49","calcium","6","11","ALL","300.00","1000.00","false"
"50","calcium","0","99","F","0.00","0.00","false"
