"nutrient_code","nutrient_ko","group_name","kdri_unit","synonyms_ko_label","has_ear","has_rni","has_ai","has_ul","has_cdrr","kdri_version"
"alpha_linolenic_acid","알파-리놀렌산","macronutrient","g/일",,"false","false","true","false","false","2025"
"biotin","비오틴","vitamin","µg/일","비타민B7|비오틴","false","false","true","false","false","2025"
"calcium","칼슘","mineral","mg/일","Ca|탄산칼슘|구연산칼슘","true","true","true","true","false","2025"
"carbohydrate","탄수화물","macronutrient","g/일",,"true","true","true","false","false","2025"
"chloride","염소","mineral","mg/일",,"false","false","true","false","false","2025"
"choline","콜린","vitamin","mg/일","콜린|염화콜린|알포세레이트","false","false","true","true","false","2025"
"chromium","크롬","mineral","μg/일",,"false","false","true","false","false","2025"
"copper","구리","mineral","μg/일","Cu","true","true","true","true","false","2025"
"dietary_fiber","식이섬유","macronutrient","g/일","섬유소|식이섬유","false","false","true","false","false","2025"
"energy","에너지","macronutrient","kcal/일",,"false","false","false","false","false","2025"
"epa_dha","EPA+DHA","macronutrient","mg/일","오메가3|EPA|DHA|n-3","false","false","true","false","false","2025"
"fluoride","불소","mineral","mg/일",,"false","false","true","true","false","2025"
"folate","엽산","vitamin","µg DFE/일","폴산|폴레이트|엽산염|비타민B9|메틸엽산|5-MTHF","true","true","true","true","false","2025"
"histidine","히스티딘","macronutrient","g/일",,"true","true","true","false","false","2025"
"iodine","요오드","mineral","μg/일","I|아이오딘|요드","true","true","true","true","false","2025"
"iron","철","mineral","mg/일","Fe|철분|헴철|비헴철|황산철|푸마르산철","true","true","true","true","false","2025"
"isoleucine","이소류신","macronutrient","g/일",,"true","true","true","false","false","2025"
"leucine","류신","macronutrient","g/일",,"true","true","true","false","false","2025"
"linoleic_acid","리놀레산","macronutrient","g/일",,"false","false","true","false","false","2025"
"lipid","지질","macronutrient","g/일",,"false","false","true","false","false","2025"
"lysine","라이신","macronutrient","g/일",,"true","true","true","false","false","2025"
"magnesium","마그네슘","mineral","mg/일","Mg|산화마그네슘|구연산마그네슘","true","true","true","true","false","2025"
"manganese","망간","mineral","mg/일",,"false","false","true","true","false","2025"
"methionine_cysteine","메티오닌+시스테인","macronutrient","g/일",,"true","true","true","false","false","2025"
"molybdenum","몰리브덴","mineral","µg/일",,"true","true","false","true","false","2025"
"niacin","니아신","vitamin","㎎ NE/일","비타민B3|니코틴산|니코틴아미드|나이아신","true","true","true","true","false","2025"
"pantothenic_acid","판토텐산","vitamin","mg/일","비타민B5|판토텐산칼슘","false","false","true","false","false","2025"
"phenylalanine_tyrosine","페닐알라닌+티로신","macronutrient","g/일",,"true","true","true","false","false","2025"
"phosphorus","인","mineral","mg/일","P|인산","true","true","true","true","false","2025"
"potassium","칼륨","mineral","mg/일","K|칼리움","false","false","true","false","false","2025"
"protein","단백질","macronutrient","g/일",,"true","true","true","false","false","2025"
"riboflavin","리보플라빈","vitamin","㎎/일","비타민B2","true","true","true","false","false","2025"
"selenium","셀레늄","mineral","μg/일","Se|셀렌|셀레노메티오닌","true","true","true","true","false","2025"
"sodium","나트륨","mineral","mg/일","Na|소금|염화나트륨","false","false","true","false","true","2025"
"thiamin","티아민","vitamin","mg/일","비타민B1|티아민염산염|thiamine","true","true","true","false","false","2025"
"threonine","트레오닌","macronutrient","g/일",,"true","true","true","false","false","2025"
"tryptophan","트립토판","macronutrient","g/일",,"true","true","true","false","false","2025"
"valine","발린","macronutrient","g/일",,"true","true","true","false","false","2025"
"vitamin_a","비타민 A","vitamin","μg RAE/일","레티놀|비타민A|Vitamin A|RAE|팔미테이트","true","true","true","true","false","2025"
"vitamin_b12","비타민 B12","vitamin","㎍/일","코발라민|시아노코발라민|메틸코발라민","true","true","true","false","false","2025"
"vitamin_b6","비타민 B6","vitamin","mg/일","피리독신|피리독살|B6","true","true","true","true","false","2025"
"vitamin_c","비타민 C","vitamin","mg/일","아스코르브산|아스코빈산|비타민C","true","true","true","true","false","2025"
"vitamin_d","비타민 D","vitamin","㎍/일","콜레칼시페롤|비타민D3|D3|칼시페롤","false","false","true","true","false","2025"
"vitamin_e","비타민 E","vitamin","mg α-TE/일","토코페롤|알파토코페롤|비타민E|d-알파토코페롤","false","false","true","true","false","2025"
"vitamin_k","비타민 K","vitamin","μg/일","비타민K1|필로퀴논|메나퀴논|MK-7","false","false","true","false","false","2025"
"water","수분","macronutrient","mL/일",,"false","false","true","false","false","2025"
"zinc","아연","mineral","mg/일","Zn|아연글루콘산|산화아연","true","true","true","true","false","2025"
