구분,항목,상태,상세
"접속","DATABASE_URL","정상","설정됨"
"접속","psycopg 설치","정상",""
"접속","DB 연결","정상","540ms"
"접속","데이터베이스","정상","neondb"
"테이블","users","정상","회원 (signup·login)"
"테이블","kdri_standards","정상","영양 기준값 (RI·UL)"
"테이블","nutrient_codes","정상","영양소 코드·단위"
"테이블","product_ingredients_master","정상","제품 성분"
"테이블","prescription_histories","정상","리포트 이력"
"테이블","user_health_presets","정상","건강 프리셋"
"데이터","users","주의","0 행"
"데이터","kdri_standards","정상","1,052 행"
"데이터","nutrient_codes","정상","47 행"
"데이터","product_ingredients_master","정상","1,958 행"
"데이터","prescription_histories","주의","0 행"
"데이터","user_health_presets","주의","0 행"
"users","id","정상","character varying(100)"
"users","pwd_hash","정상","character varying(255)"
"users","name","정상","character varying(100)"
"users","created_at","정상","timestamp with time zone"
"users","updated_at","정상","timestamp with time zone"
"users","id 길이 정합성","주의","users.id(100) ≠ prescription_histories.user_id(50)"
"쿼리","db_calculate_ri","정상","2개 영양소 반환"
"쿼리","db_search_products","주의","0개 제품 반환"
"쿼리","db_validate_ul","정상","안전=False 위반=1"
"MCP","기동 여부","정상","http://localhost:8080/ 응답함 (HTTP 404)"
